directorate,team_full,team_short,benchmark_group,exclude
Adult Acute & Crisis Mental Health (L3),(IR&C) WAA Non Funded,(IR&C) WAA Non Funded,,1
Adult Community Physical Health Services (L3),001 ACS Adult Community Physical Health Management,ACPH Management,,
Adult Community Physical Health Services (L3),002 ACS Leg Ulcer Clinic,Leg Ulcer Clinic,Complex Wound Care,
Adult Community Physical Health Services (L3),"003 783 ACS Bexley Complex Wound Care, Lymphoedema","Bexley Complex Wound Care, Lymphoedema",Complex Wound Care,
Adult Community Physical Health Services (L3),003 ACS Bexley Complex Wound Care,Bexley Complex Wound Care,Complex Wound Care,
Adult Community Physical Health Services (L3),006 ACS Greenwich COPD,Greenwich COPD,,
Adult Community Physical Health Services (L3),"008 225 236 ACS GW Care Home, Falls Prev & Frailty Teams","Greenwich Care Home, Falls Prev & Frailty Teams",,
Adult Community Physical Health Services (L3),008 ACS Greenwich Care Home Team,Greenwich Care Home Team,,
Adult Community Physical Health Services (L3),009 ACS Greenwich Continence Service,Greenwich Continence Service,,
Corporate (L3),011 315 RIO & Digital Transformation,RIO & Digital Transformation,ICT,
Adult Community Physical Health Services (L3),012 013 Greenwich Podiatry & Surgery Serv,Greenwich Podiatry & Surgery Serv,Podiatry,
Adult Community Physical Health Services (L3),014 020 ACS GW Complex Wound Care & Lymph,GW Complex Wound Care & Lymph,Complex Wound Care,1
Adult Community Physical Health Services (L3),014 ACS Greenwich Complex Wound Care,Greenwich Complex Wound Care,Complex Wound Care,
Adult Community Physical Health Services (L3),015 131 Greenwich CR -STAT & Discharge AT,Greenwich CR -STAT & Discharge AT,,
Adult Community Physical Health Services (L3),016 197 Greenwich JET & The Source Team,Greenwich JET & The Source Team,Rapid Response,
Adult Community Physical Health Services (L3),017 ACS Greenwich MSK (Adults) Service,Greenwich MSK,MSK,
Adult Community Physical Health Services (L3),019 ACS Greenwich TB Team,Greenwich TB Team,,
Adult Community Physical Health Services (L3),020 ACS Lymphoedema,Lymphoedema,,
Adult Community Physical Health Services (L3),025 ACS Greenwich Blackheath & Charlton DN Team,Greenwich Blackheath & Charlton DN,District Nursing,
Adult Community Physical Health Services (L3),026 ACS Greenwich Eltham DN Team,Greenwich Eltham DN,District Nursing,
Adult Community Physical Health Services (L3),028 ACS Grn Plumstead/Excel DN Team,Greenwich Plumstead/Excel DN,District Nursing,
Adult Community Physical Health Services (L3),029 ACS Greenwich Woolwich Network District Nurse Team,Greenwich Woolwich Network DN,District Nursing,
Adult Community Physical Health Services (L3),"031 022 024 Green Twilight, DN Mgmt, DN Leads Elt","Green Twilight, DN Mgmt, DN Leads Elt",District Nursing,
Adult Community Physical Health Services (L3),033 ACS Bexley Clocktower 1 - Bostall,Bexley Clocktower 1 - Bostall DN,District Nursing,
Children & Young People (L3),035 CYP SCS CCNT,Children's Community Nursing,,
Children & Young People (L3),039 CYP SCS CASH & GYNAE,CASH & GYNAE,,
Children & Young People (L3),"040 055 060 323 CYP SCS GW & BX Audio, LAC & Diet","Audiology, LAC & Diet",,
Adult Community Physical Health Services (L3),041 ACS Bexley Bladder & Bowel Team,Bexley Bladder & Bowel Team,,
Adult Community Physical Health Services (L3),042 ACS Greenwich CAR Team - Neuro,Greenwich CAR Team - Neuro,,
Adult Community Physical Health Services (L3),043 ACS Bexley Respiratory Service,Bexley Respiratory Service,,
Children & Young People (L3),044 CYP LIFT,LIFT,,
Adult Community Physical Health Services (L3),"045 005 036 007 Bex & Green Heart Failure, Cardiac Rehab","Heart Failure, Cardiac Rehab",,
Children & Young People (L3),046 460 SCS Greenwich & Bexley Comm Paeds,Greenwich & Bexley Community Paediatrics,Community Paediatrics,
Children & Young People (L3),046 CYP SCS Greenwich Comm Paeds,Greenwich Community Paediatrics,Community Paediatrics,
Children & Young People (L3),048 CYP SCS Greenwich Music Therap,Greenwich Music Therapy,,
Adult Community Mental Health Services (L3),051 648 252 CMH Bex Brom Green PCN,Bex Brom Green PCN,,
Children & Young People (L3),057 496 SCS Spl Schools Nursing & Continence,Special Schools Nursing & Continence,,
Children & Young People (L3),059 CYP SCS Grwch Intg Therapies,Greenwich Integrated Therapies,,
Children & Young People (L3),063 CYP SCS Continuing Care,Continuing Care,,
Adult Community Physical Health Services (L3),"065 066 072 ACS GW Mal Food, Prim CT & Hm Entera","Greenwich Mal Food, Prim CT & Hm Entera",Malnutrition,
Adult Community Physical Health Services (L3),065 ACS Greenwich Malnutrition Food First,Greenwich Malnutrition Food First,Malnutrition,
Adult Community Physical Health Services (L3),066 ACS Greenwich Malnutrition Primary CT,Greenwich Malnutrition Primary CT,Malnutrition,
Children & Young People (L3),068 493 CAMHS Bexley LAC & Blossom Team,CAMHS Bexley LAC & Blossom Team,Bexley CAMHS,
Children & Young People (L3),068 CYP Bexley CAMHS Blossom Team,CAMHS Bexley Blossom Team,Bexley CAMHS,
Adult Community Physical Health Services (L3),072 ACS Greenwich Malnutrition Home Enteral,Greenwich Malnutrition Home Enteral,Malnutrition,
Adult Acute & Crisis Mental Health (L3),082 217 IR&C Discharge Flow & Bex Flow Hub,IR&C Discharge Flow & Bex Flow Hub,Flow,
Adult Acute & Crisis Mental Health (L3),"083 628 683 IR&C A&C Snr L, Crisis Bor & Tobac Team","Snr L, Crisis Bor & Tobac Team",,1
Adult Community Physical Health Services (L3),091 ACS Greenwich Diabetes Service,Greenwich Diabetes Service,Diabetes,
Children & Young People (L3),094 CYP SCS Greenwich IND,Greenwich Integrated Neurodevelopmental Team,,
Corporate (L3),"100 101 161 Trust Mgmt, EA Team & Trust Exp","Oxleas Management, Executive Assistant Team & Oxleas Exp",,
Corporate (L3),102 610 Nursing & Infection Control,Nursing & Infection Control,Corporate Nursing,
Corporate (L3),103 HR Business Partnering,HR Business Partnering,Workforce,
Corporate (L3),"107 126 127 Accts Payable, Cash Mgmt & Fin Accts","Accts Payable, Cash Management & Financial Accounts",Finance,
Corporate (L3),108 ICT,ICT,ICT,
Corporate (L3),109 118 Financial Mgmt & Finance2,Financial Mgmt & Finance2,Finance,
Corporate (L3),110 Workforce System Team,Workforce System Team,Workforce,
Corporate (L3),112 Recruitment Team,Recruitment Team,Workforce,
Corporate (L3),113 Temporary Staffing,Temporary Staffing,Workforce,
Corporate (L3),115 612 Patient Safety & MH Legislation,Patient Safety & Mental Health Legislation,Corporate Nursing,
Corporate (L3),"116 125 396 Serv Delivery, Membership & Comms","Serv Delivery, Membership & Comms",,
Corporate (L3),116 125 Corporate Governance,Corporate Governance,ICT,
Corporate (L3),117 Data Services,Data Services,ICT,
Adult Community Physical Health Services (L3),124 ACS Bexley Frognal 1-Barnard Forum,Bexley Frognal 1-Barnard Forum DN,District Nursing,
Adult Community Physical Health Services (L3),128 ACS Bexley North 1 - Erith Health Centre,Bexley North 1 - Erith Health Centre DN,District Nursing,
Children & Young People (L3),132 CYP SCS Young Greenwich,Specialist Children's Services - Young Greenwich,,
Adult Community Physical Health Services (L3),133 ACS Bexley North 2 - Colyers District Nurse,Bexley North 2 - Colyers DN,District Nursing,
Adult Community Physical Health Services (L3),134 ACS Bexley Clocktower 2 Lodge Hill,Bexley Clocktower 2 Lodge Hill DN,District Nursing,
Adult Community Physical Health Services (L3),135 ACS Bexley Frognal 2 - Oval Forum,Bexley Frognal 2 - Oval Forum DN,District Nursing,
Children & Young People (L3),"137 141 549 CAMHS Green Early Int, Clinical & Mgmt Team","CAMHS Green Early Int, Clinical & Mgmt Team",,1
Children & Young People (L3),137 549 Greenwich CAMHS Management and ICT,Greenwich CAMHS Management and ICT,,
Adult Community Mental Health Services (L3),139 717 CMH BBG Perinatal & Mental Health,BBG Perinatal & Mental Health,Perinatal,
Adult Community Mental Health Services (L3),139 CMH BBG Perinatal,Perinatal Mental Health,Perinatal,
Adult Community Mental Health Services (L3),140 280 CMH Bex Psych OP & Bex&Grn Dementia CH,Bex Psych OP & Bex&Grn Dementia CH,,
Adult Community Mental Health Services (L3),140 642 696 787 - OPMH Dementia & Care Home Services,Dementia & Care Home Services,,
Children & Young People (L3),141 142 Greenwich CAMHS Generic and EIT,CAMHS Greenwich Generic and EIT,Greenwich CAMHS,1
Children & Young People (L3),142 CAMHS Greenwich Generic Team,CAMHS Greenwich Generic Team,Greenwich CAMHS,
Children & Young People (L3),143 CAMHS Greenwich LD & Neuro Tm,CAMHS Greenwich LD & Neuro Tm,Greenwich CAMHS,
Children & Young People (L3),144 CAMHS Greenwich CIN/CP/LAC/AD,CAMHS Greenwich CIN/CP/LAC/AD,Greenwich CAMHS,
Children & Young People (L3),145 CAMHS Greenwich Adolescent Team,CAMHS Greenwich Adolescent Team,Greenwich CAMHS,
Children & Young People (L3),"147 497 498 CAMHS DBT Team, Crisis & HTT","CAMHS DBT Team, Crisis & HTT",CAMHS Crisis & DBT,
Children & Young People (L3),147 498 CAMHS Home Treatment and DBT,CAMHS Home Treatment and DBT,CAMHS Crisis & DBT,
Adult Acute & Crisis Mental Health (L3),150 IR&C Bromley Norman Ward,Bromley Norman Ward,Acute Psychiatric Ward,
Corporate (L3),"151 376 757 Pharmacy, Brom Meds Opt & PY Def Projects","Pharmacy, Brom Meds Opt & PY Def Projects",Pharmacy,
Adult Acute & Crisis Mental Health (L3),157 181 265 221 265 687 - A&C Services - ECT OPMH - GPH Admin,A&C Services - ECT OPMH - GPH Admin,,1
Adult Community Mental Health Services (L3),"158, 196, 228, 235, 239, 417, 418, 248 - GW ADAPT ICMP Central Complex Needs",Greenwich ADAPT ICMP Central Complex Needs,,1
Adult Community Mental Health Services (L3),160 Greenwich Wellbeing Hub,Greenwich Wellbeing Hub,Hub,
Adult Community Physical Health Services (L3),165 ACS Greenwich Adults SPA,Greenwich Adults SPA,,
Children & Young People (L3),167 423 CYP and SCS Management,CYP and SCS Management,Management,
Children & Young People (L3),167 CYP Management,CYP Management,Management,
Corporate (L3),"169 170 174 OD, L&D & EDI Team","OD, L&D & EDI Team",Workforce,
Corporate (L3),171 Business & Performance Office,Business & Performance Office,,
Adult Acute & Crisis Mental Health (L3),172 IR&C Bromley MH Liaison Team,Bromley MH Liaison,MH Liaison,
Adult Acute & Crisis Mental Health (L3),175 IR&C Bromley Crisis Resolution Home Treatment Team,Bromley Crisis Resolution Home Treatment Team,Home Treatment Team,
Adult Acute & Crisis Mental Health (L3),182 IR&C Bexley Lesney Ward,Bexley Lesney Ward,Acute Psychiatric Ward,
Adult Acute & Crisis Mental Health (L3),183 IR&C Bexley Millbrook Ward,Bexley Millbrook Ward,Acute Psychiatric Ward,
Adult Community Mental Health Services (L3),190 CMH Bexley Rehabilitation & Enablement Service,Bexley Rehabilitation & Enablement Service,,
Adult Community Physical Health Services (L3),"190, 255, 643, 655, 690, 219 - Enablement Services",Enablement Services,,
Adult Community Physical Health Services (L3),195 ACS Complex Case Team,Complex Case Team,,
Adult Community Mental Health Services (L3),196 CMH Greenwich RB West Central,Greenwich RB West Central,,
Adult Community Mental Health Services (L3),200 CMH Bexley Borough General,Bexley Borough General,,
Adult Community Mental Health Services (L3),201 CMH Bexley Early Intervention in Psychosis,Bexley Early Intervention in Psychosis,Early Intervention in Psychosis,
Corporate (L3),"202 250 264 Involved, Vol Serv, Therapies Cent & Liv Exp","Involved, Vol Serv, Therapies Cent & Liv Exp",Workforce,
Offender Healthcare (L3),"205 210 211 214 Bristol Mh, Pharm, Primary Care & Mgmt & Admin","Bristol Mh, Pharm, Primary Care & Mgmt & Admin",Prisons,
Adult Acute & Crisis Mental Health (L3),206 IR&C Bexley Medical Acute,Bexley Medical Acute,Medical,
Adult Community Mental Health Services (L3),207 CMH Bexley Medical Community Mental Health,Bexley Medical Community Mental Health,Medical,
Adult Community Physical Health Services (L3),209 ACS Bexley Meadow View,Bexley Meadow View,Other Wards,
Children & Young People (L3),213 CAMHS Bexley MHIST,CAMHS Bexley MHIST,Bexley CAMHS,
Offender Healthcare (L3),"218 220 232 491 Ashfield Pharm, Primary Care, Mental Health, Mgmt & Admin","Ashfield Pharm, Primary Care, Mental Health, Mgmt & Admin",Prisons,
Adult Acute & Crisis Mental Health (L3),221 IR&C Greenwich Acute & Crisis Service,Greenwich Acute & Crisis Service,,
Adult Acute & Crisis Mental Health (L3),222 IR&C Greenwich Shrewsbury Ward,Greenwich Shrewsbury Ward,,
