q_id,QuestionText,exclude
1,I look forward to going to work.,
1,I look forward to going to work (Often/Always).,
2,I am enthusiastic about my job.,
2,I am enthusiastic about my job (Often/Always).,
3,Time passes quickly when I am working.,
3,Time passes quickly when I am working (Often/Always).,
4,I always know what my work responsibilities are.,
4,I always know what my work responsibilities are (Agree/Strongly agree).,
5,I am trusted to do my job.,
5,I am trusted to do my job (Agree/Strongly agree).,
6,There are frequent opportunities for me to show initiative in my role.,
6,There are frequent opportunities for me to show initiative in my role (Agree/Strongly agree).,
7,I am able to make suggestions to improve the work of my team / department.,
7,I am able to make suggestions to improve the work of my team / department (Agree/Strongly agree).,
8,I am involved in deciding on changes introduced that affect my work area / team / department.,
8,I am involved in deciding on changes introduced that affect my work area / team / department (Agree/Strongly agree).,
9,I am able to make improvements happen in my area of work.,
9,I am able to make improvements happen in my area of work (Agree/Strongly agree).,
10,I am able to meet all the conflicting demands on my time at work.,
10,I am able to meet all the conflicting demands on my time at work (Agree/Strongly agree).,
11,"I have adequate materials, supplies and equipment to do my work.",
11,"I have adequate materials, supplies and equipment to do my work (Agree/Strongly agree).",
12,There are enough staff at this organisation for me to do my job properly.,
12,There are enough staff at this organisation for me to do my job properly (Agree/Strongly agree).,
13,The recognition I get for good work.,
13,The recognition I get for good work (Satisfied/Very satisfied).,
14,The extent to which my organisation values my work.,
14,The extent to which my organisation values my work (Satisfied/Very satisfied).,
15,My level of pay.,
15,My level of pay (Satisfied/Very satisfied).,
16,The opportunities for flexible working patterns.,
16,The opportunities for flexible working patterns (Satisfied/Very satisfied).,
17,I have unrealistic time pressures.,
17,I have unrealistic time pressures (Never/Rarely).,
18,I have a choice in deciding how to do my work.,
18,I have a choice in deciding how to do my work (Often/Always).,
19,Relationships at work are strained.,
19,Relationships at work are strained (Never/Rarely).,
20,I feel that my role makes a difference to patients / service users.,
20,I feel that my role makes a difference to patients / service users (Agree/Strongly agree).,
21,My organisation is committed to helping me balance my work and home life.,
21,My organisation is committed to helping me balance my work and home life (Agree/Strongly agree).,
23,I achieve a good balance between my work life and my home life.,
23,I achieve a good balance between my work life and my home life (Agree/Strongly agree).,
