theme_id,theme,domain,subdomain,q_id,q_text,lookup
OV_WL_WL,Oxleas Values,We Listen,We listen,1,"In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review (Yes).","In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review?"
NI_IPC,NHS IMPACT,Investing in People & Culture,,2, I feel supported to develop my potential,I feel supported to develop my potential (Agree/Strongly agree).
OV_WC_WA,Oxleas Values,We Care ,We Aim,2,I feel supported to develop my potential (Agree/Strongly agree).,I feel supported to develop my potential (Agree/Strongly agree).
PP5_1,People's Promise,We are always learning,Development,2,I feel supported to develop my potential (Agree/Strongly agree).,I feel supported to develop my potential (Agree/Strongly agree).
OV_WC_WA,Oxleas Values,We Care ,We Aim,4,I am able to access clinical supervision opportunities when I need to (Agree/Strongly agree).,I am able to access clinical supervision opportunities when I need to (Agree/Strongly agree).
PS_WS,Patient Safety,Creating a workplace conducive to safety,,4,I am able to access clinical supervision opportunities when I need to.,I am able to access clinical supervision opportunities when I need to (Agree/Strongly agree).
OV_WL_WA,Oxleas Values,We Listen,We Aim,5,I am trusted to do my job (Agree/Strongly agree).,I am trusted to do my job (Agree/Strongly agree).
PP3_1,People's Promise,We each have a voice that counts,Autonomy and control,5,I am trusted to do my job (Agree/Strongly agree).,I am trusted to do my job (Agree/Strongly agree).
OV_WL_WL,Oxleas Values,We Listen,We listen,6,I feel valued by my team (Agree/Strongly agree) .,I feel valued by my team (Agree/Strongly agree).
PP1_4,People's Promise,We are compassionate and inclusive,Inclusion,6,I feel valued by my team (Agree/Strongly agree).,I feel valued by my team (Agree/Strongly agree).
PS_RS,Patient Safety,Raising Concerns,,7,"% of staff saying they have seen any errors, near misses, or incidents that could have hurt staff and/orï¿½patients/service users in the last month","In the last month have you seen any errors, near misses, or incidents that could have hurt staff and/or patients/service users? (No)"
NI_BIC,NHS IMPACT,Building Improvement Capability & Capacity,,8, I am able to make suggestions to improve the work of my team/department,I am able to make suggestions to improve the work of my team / department (Agree/Strongly agree).
