theme,domain,subdomain,q_id,q_text,,,,
NHS IMPACT,Investing in People & Culture,,99, This organisation offers me challenging work,,,,
NHS IMPACT,Investing in People & Culture,,100, There are opportunities for me to develop my career in this organisation,,,,
NHS IMPACT,Shared Purpose & Vision,,25, The team I work in has a shared set of objectives,,,,
NHS IMPACT,Shared Purpose & Vision,,34, Teams within this organisation work well together to achieve their objectives,,,,
NHS IMPACT,Building Improvement Capability & Capacity,,28, Team members understand each other's roles,,,,
NHS IMPACT,Using Quality Management System,,106, My organisation acts on concerns raised by patients/service users,,,,
NHS IMPACT,Development of Leadership Behaviours,,39, My immediate manager… encourages me at work,,,,
NHS IMPACT,Using Quality Management System,,110," If I spoke up about something that concerned me, I am confident my organisation would address my concern",,,,
NHS IMPACT,Shared Purpose & Vision,,107, I would recommend my organisation as a place to work,,,,
NHS IMPACT,Shared Purpose & Vision,,1, I look forward to coming to work,,,,
NHS IMPACT,Investing in People & Culture,,101, I have opportunities to improve my knowledge and skills,,,,
NHS IMPACT,Building Improvement Capability & Capacity,,18, I have a choice in deciding how to do my work,,,,
NHS IMPACT,Using Quality Management System,,20, I feel that my role makes a difference to patients/service users,,,,
NHS IMPACT,Investing in People & Culture,,102, I feel supported to develop my potential,,,,
NHS IMPACT,Using Quality Management System,,109, I feel safe to speak up about anything that concerns me in this organisation,,,,
NHS IMPACT,Building Improvement Capability & Capacity,,8, I am involved in deciding on changes introduced that affect my work area,,,,
NHS IMPACT,Shared Purpose & Vision,,2, I am enthusiastic about my job,,,,
NHS IMPACT,Building Improvement Capability & Capacity,,7, I am able to make suggestions to improve the work of my team/department,,,,
NHS IMPACT,Building Improvement Capability & Capacity,,9, I am able to make improvements happen in my area of work,,,,
NHS IMPACT,Investing in People & Culture,,103, I am able to access the right learning and development opportunities when I need ,,,,
NHS IMPACT,Shared Purpose & Vision,,105, Care of patients/service users is my organisations top priority,,,,
NHS IMPACT,Development of Leadership Behaviours,,44, … works together with me to come to an understanding of problems,,,,
NHS IMPACT,Development of Leadership Behaviours,,47, … takes effective action to help me with any problems I face,,,,
NHS IMPACT,Development of Leadership Behaviours,,45," … is interested in listening to me when I describe challenges, I face",,,,
NHS IMPACT,Development of Leadership Behaviours,,40, … gives me clear feedback on my work,,,,
NHS IMPACT,Development of Leadership Behaviours,,46, … cares about my concerns,,,,
